Temperature - (Celsius), Year, Statistics, Country, ISO3
28.5548, 1999, May Average, Algeria, DZA
32.4687, 1999, Jun Average, Algeria, DZA
33.1247, 1999, Jul Average, Algeria, DZA
32.9976, 1999, Aug Average, Algeria, DZA
30.1933, 1999, Sep Average, Algeria, DZA
25.4926, 1999, Oct Average, Algeria, DZA
17.5964, 1999, Nov Average, Algeria, DZA
13.1401, 1999, Dec Average, Algeria, DZA
11.7786, 2000, Jan Average, Algeria, DZA
14.6378, 2000, Feb Average, Algeria, DZA
19.1744, 2000, Mar Average, Algeria, DZA
23.8403, 2000, Apr Average, Algeria, DZA
28.4119, 2000, May Average, Algeria, DZA
31.8338, 2000, Jun Average, Algeria, DZA
33.3473, 2000, Jul Average, Algeria, DZA
32.9954, 2000, Aug Average, Algeria, DZA
29.4739, 2000, Sep Average, Algeria, DZA
22.9341, 2000, Oct Average, Algeria, DZA
18.1415, 2000, Nov Average, Algeria, DZA
14.1928, 2000, Dec Average, Algeria, DZA
13.037, 2001, Jan Average, Algeria, DZA
15.2565, 2001, Feb Average, Algeria, DZA
20.9783, 2001, Mar Average, Algeria, DZA
23.0912, 2001, Apr Average, Algeria, DZA
27.2967, 2001, May Average, Algeria, DZA
32.2739, 2001, Jun Average, Algeria, DZA
33.5414, 2001, Jul Average, Algeria, DZA
32.9527, 2001, Aug Average, Algeria, DZA
29.61, 2001, Sep Average, Algeria, DZA
25.5958, 2001, Oct Average, Algeria, DZA
17.8696, 2001, Nov Average, Algeria, DZA
13.915, 2001, Dec Average, Algeria, DZA
12.0584, 2002, Jan Average, Algeria, DZA
15.1233, 2002, Feb Average, Algeria, DZA
19.2653, 2002, Mar Average, Algeria, DZA
22.9667, 2002, Apr Average, Algeria, DZA
26.7106, 2002, May Average, Algeria, DZA
32.1782, 2002, Jun Average, Algeria, DZA
33.5513, 2002, Jul Average, Algeria, DZA
32.257, 2002, Aug Average, Algeria, DZA
29.8869, 2002, Sep Average, Algeria, DZA
24.4873, 2002, Oct Average, Algeria, DZA
18.3259, 2002, Nov Average, Algeria, DZA
15.0179, 2002, Dec Average, Algeria, DZA
12.5118, 2003, Jan Average, Algeria, DZA
14.4976, 2003, Feb Average, Algeria, DZA
18.7409, 2003, Mar Average, Algeria, DZA
23.2493, 2003, Apr Average, Algeria, DZA
27.9582, 2003, May Average, Algeria, DZA
32.8364, 2003, Jun Average, Algeria, DZA
34.2124, 2003, Jul Average, Algeria, DZA
33.577, 2003, Aug Average, Algeria, DZA
29.93, 2003, Sep Average, Algeria, DZA
25.1403, 2003, Oct Average, Algeria, DZA
18.6085, 2003, Nov Average, Algeria, DZA
13.2458, 2003, Dec Average, Algeria, DZA
12.8691, 2004, Jan Average, Algeria, DZA
15.9633, 2004, Feb Average, Algeria, DZA
18.2125, 2004, Mar Average, Algeria, DZA
23.0225, 2004, Apr Average, Algeria, DZA
25.8702, 2004, May Average, Algeria, DZA
32.0013, 2004, Jun Average, Algeria, DZA
33.1128, 2004, Jul Average, Algeria, DZA
33.4755, 2004, Aug Average, Algeria, DZA
29.3061, 2004, Sep Average, Algeria, DZA
25.8717, 2004, Oct Average, Algeria, DZA
17.1639, 2004, Nov Average, Algeria, DZA
13.7019, 2004, Dec Average, Algeria, DZA
10.678, 2005, Jan Average, Algeria, DZA
13.5419, 2005, Feb Average, Algeria, DZA
19.3424, 2005, Mar Average, Algeria, DZA
23.6244, 2005, Apr Average, Algeria, DZA
28.8164, 2005, May Average, Algeria, DZA
32.3984, 2005, Jun Average, Algeria, DZA
33.8359, 2005, Jul Average, Algeria, DZA
32.7857, 2005, Aug Average, Algeria, DZA
29.4876, 2005, Sep Average, Algeria, DZA
25.4245, 2005, Oct Average, Algeria, DZA
17.9567, 2005, Nov Average, Algeria, DZA
13.0669, 2005, Dec Average, Algeria, DZA
11.8836, 2006, Jan Average, Algeria, DZA
14.4338, 2006, Feb Average, Algeria, DZA
19.2859, 2006, Mar Average, Algeria, DZA
24.1151, 2006, Apr Average, Algeria, DZA
28.6566, 2006, May Average, Algeria, DZA
32.2134, 2006, Jun Average, Algeria, DZA
34.1625, 2006, Jul Average, Algeria, DZA
32.7759, 2006, Aug Average, Algeria, DZA
29.2902, 2006, Sep Average, Algeria, DZA
25.7458, 2006, Oct Average, Algeria, DZA
18.3552, 2006, Nov Average, Algeria, DZA
13.1238, 2006, Dec Average, Algeria, DZA
12.8288, 2007, Jan Average, Algeria, DZA
16.349, 2007, Feb Average, Algeria, DZA
18.2455, 2007, Mar Average, Algeria, DZA
22.9068, 2007, Apr Average, Algeria, DZA
27.3848, 2007, May Average, Algeria, DZA
32.1702, 2007, Jun Average, Algeria, DZA
33.3844, 2007, Jul Average, Algeria, DZA
32.7287, 2007, Aug Average, Algeria, DZA
29.9891, 2007, Sep Average, Algeria, DZA
24.5466, 2007, Oct Average, Algeria, DZA
17.6975, 2007, Nov Average, Algeria, DZA
13.043, 2007, Dec Average, Algeria, DZA
12.1388, 2008, Jan Average, Algeria, DZA
14.781, 2008, Feb Average, Algeria, DZA
18.9717, 2008, Mar Average, Algeria, DZA
23.5877, 2008, Apr Average, Algeria, DZA
27.4819, 2008, May Average, Algeria, DZA
31.9563, 2008, Jun Average, Algeria, DZA
33.868, 2008, Jul Average, Algeria, DZA
32.9329, 2008, Aug Average, Algeria, DZA
30.0507, 2008, Sep Average, Algeria, DZA
23.9556, 2008, Oct Average, Algeria, DZA
16.8912, 2008, Nov Average, Algeria, DZA
12.7721, 2008, Dec Average, Algeria, DZA
12.4003, 2009, Jan Average, Algeria, DZA
15.1775, 2009, Feb Average, Algeria, DZA
19.2832, 2009, Mar Average, Algeria, DZA
22.3923, 2009, Apr Average, Algeria, DZA
27.7638, 2009, May Average, Algeria, DZA
32.568, 2009, Jun Average, Algeria, DZA
34.6643, 2009, Jul Average, Algeria, DZA
33.4058, 2009, Aug Average, Algeria, DZA
28.5779, 2009, Sep Average, Algeria, DZA
24.7722, 2009, Oct Average, Algeria, DZA
18.6566, 2009, Nov Average, Algeria, DZA
15.4972, 2009, Dec Average, Algeria, DZA
13.9467, 2010, Jan Average, Algeria, DZA
17.1882, 2010, Feb Average, Algeria, DZA
19.9406, 2010, Mar Average, Algeria, DZA
24.1926, 2010, Apr Average, Algeria, DZA
27.4351, 2010, May Average, Algeria, DZA
31.6958, 2010, Jun Average, Algeria, DZA
33.9105, 2010, Jul Average, Algeria, DZA
33.0558, 2010, Aug Average, Algeria, DZA
29.8647, 2010, Sep Average, Algeria, DZA
24.2364, 2010, Oct Average, Algeria, DZA
18.7191, 2010, Nov Average, Algeria, DZA
14.8436, 2010, Dec Average, Algeria, DZA
13.2785, 2011, Jan Average, Algeria, DZA
14.6538, 2011, Feb Average, Algeria, DZA
19.3183, 2011, Mar Average, Algeria, DZA
24.2536, 2011, Apr Average, Algeria, DZA
